Age_group,Education_gen,Occupation_gen,Relationship,Sex,Region
21-30,HighSchool,Sales, Wife, Female,North America
31-40,HighSchool,Manufacturing, Own-child, Female,North America
51-60,Dropout,Manual Labor, Husband, Male,North America
51-60,HighSchool,Sales, Husband, Male,North America
41-50,Associate,Skilled Trade, Husband, Male,North America
51-60,HighSchool,Sales, Husband, Male,North America
21-30,HighSchool,Skilled Trade, Not-in-family, Male,North America
21-30,HighSchool,Service, Own-child, Female,North America
41-50,HigherEd,Management, Husband, Male,North America
31-40,HigherEd,Management, Own-child, Male,Germany
21-30,HigherEd,Professional, Husband, Male,North America
0-20,HighSchool,Service, Own-child, Male,North America
41-50,HigherEd,Management, Wife, Female,North America
21-30,HighSchool,Clerical, Own-child, Female,North America
31-40,Associate,Clerical, Husband, Male,North America
31-40,HighSchool,, Husband, Male,North America
31-40,HighSchool,Skilled Trade, Not-in-family, Male,North America
21-30,Associate,Sales, Not-in-family, Female,North America
21-30,HighSchool,Service, Not-in-family, Female,North America
31-40,HighSchool,Skilled Trade, Husband, Male,North America
31-40,HigherEd,Sales, Husband, Male,North America
41-50,Associate,Tech-Support, Not-in-family, Female,North America
31-40,HigherEd,Professional, Husband, Male,Iran
41-50,HighSchool,Skilled Trade, Husband, Male,North America
21-30,Associate,Clerical, Wife, Female,North America
21-30,HighSchool,Sales, Own-child, Male,North America
41-50,HighSchool,Skilled Trade, Husband, Male,North America
60+,HighSchool,Skilled Trade, Husband, Male,North America
21-30,HighSchool,Sales, Own-child, Female,North America
0-20,HighSchool,Service, Own-child, Male,Latin America
41-50,Associate,Professional, Not-in-family, Female,North America
60+,HighSchool,Tech-Support, Other-relative, Male,North America
31-40,HighSchool,Transport, Unmarried, Female,North America
21-30,HighSchool,Service, Husband, Male,North America
31-40,HighSchool,Service, Unmarried, Female,North America
60+,Dropout,Skilled Trade, Husband, Male,North America
41-50,HighSchool,, Not-in-family, Female,North America
41-50,HighSchool,Clerical, Unmarried, Female,Latin America
31-40,HighSchool,Clerical, Not-in-family, Female,North America
31-40,HigherEd,Management, Other-relative, Female,Philippines
21-30,HighSchool,Skilled Trade, Own-child, Male,North America
51-60,HighSchool,, Not-in-family, Male,North America
41-50,HighSchool,Skilled Trade, Husband, Male,North America
21-30,HigherEd,Manual Labor, Not-in-family, Male,North America
60+,HighSchool,Sales, Unmarried, Male,North America
21-30,HighSchool,Skilled Trade, Not-in-family, Male,North America
41-50,HigherEd,Service, Other-relative, Male,North America
60+,1St-4Th,, Not-in-family, Female,North America
21-30,HighSchool,Service, Unmarried, Female,North America
41-50,HigherEd,Management, Unmarried, Female,North America
21-30,HighSchool,Management, Not-in-family, Female,England
41-50,HigherEd,Sales, Husband, Male,North America
31-40,HighSchool,Service, Unmarried, Female,Latin America
31-40,Associate,Management, Not-in-family, Male,North America
41-50,HigherEd,Protective-Serv, Unmarried, Male,North America
0-20,Dropout,Manual Labor, Own-child, Male,North America
60+,Associate,Professional, Not-in-family, Female,North America
21-30,HighSchool,Service, Not-in-family, Male,North America
21-30,HighSchool,Protective-Serv, Husband, Male,North America
51-60,HighSchool,Sales, Husband, Male,North America
21-30,HigherEd,Skilled Trade, Not-in-family, Male,North America
21-30,HigherEd,Professional, Husband, Male,North America
21-30,HighSchool,Sales, Unmarried, Female,North America
21-30,HighSchool,Skilled Trade, Own-child, Male,North America
31-40,HighSchool,Manual Labor, Not-in-family, Male,North America
0-20,HighSchool,Service, Own-child, Male,North America
31-40,HigherEd,Professional, Husband, Male,North America
41-50,HighSchool,Management, Husband, Male,North America
41-50,HighSchool,Clerical, Not-in-family, Female,North America
31-40,HighSchool,Skilled Trade, Not-in-family, Male,North America
41-50,Dropout,Manufacturing, Husband, Male,Latin America
31-40,HighSchool,Clerical, Husband, Male,North America
31-40,HighSchool,Clerical, Husband, Male,North America
41-50,HigherEd,Management, Not-in-family, Female,North America
51-60,HigherEd,, Not-in-family, Female,North America
31-40,HigherEd,Professional, Wife, Female,North America
51-60,HigherEd,Professional, Husband, Male,North America
31-40,HighSchool,Manufacturing, Not-in-family, Female,North America
21-30,HighSchool,Manufacturing, Husband, Male,North America
41-50,HigherEd,Skilled Trade, Husband, Male,North America
41-50,HighSchool,Tech-Support, Husband, Male,North America
41-50,HigherEd,Tech-Support, Husband, Male,North America
21-30,5Th-6Th,Transport, Other-relative, Male,Latin America
31-40,HighSchool,Skilled Trade, Not-in-family, Male,North America
41-50,HigherEd,Management, Not-in-family, Female,North America
31-40,HigherEd,Professional, Other-relative, Male,North America
21-30,HighSchool,Sales, Not-in-family, Male,North America
21-30,HigherEd,Professional, Not-in-family, Female,North America
0-20,HighSchool,, Own-child, Male,Italy
51-60,HigherEd,Management, Husband, Male,North America
41-50,HighSchool,Professional, Not-in-family, Female,North America
31-40,HighSchool,Clerical, Unmarried, Female,North America
0-20,Dropout,Sales, Own-child, Female,North America
31-40,HigherEd,Service, Husband, Male,North America
31-40,HighSchool,Skilled Trade, Not-in-family, Male,North America
51-60,HighSchool,Sales, Wife, Female,North America
0-20,Dropout,Sales, Own-child, Female,North America
41-50,HighSchool,Transport, Husband, Male,North America
31-40,HighSchool,Skilled Trade, Husband, Male,North America
31-40,HighSchool,Sales, Not-in-family, Female,North America
60+,HighSchool,Skilled Trade, Husband, Male,North America
51-60,Dropout,Manufacturing, Husband, Male,North America
31-40,HigherEd,Management, Not-in-family, Male,North America
51-60,Associate,Sales, Not-in-family, Female,North America
31-40,HigherEd,Sales, Husband, Male,Poland
41-50,HigherEd,Professional, Husband, Male,North America
21-30,10Th,Skilled Trade, Not-in-family, Male,North America
31-40,HighSchool,Manual Labor, Husband, Male,North America
60+,1St-4Th,, Not-in-family, Male,North America
60+,HighSchool,Service, Not-in-family, Male,North America
51-60,HighSchool,Clerical, Husband, Male,North America
51-60,Preschool,Manufacturing, Not-in-family, Female,North America
0-20,HighSchool,Sales, Own-child, Female,North America
60+,10Th,, Not-in-family, Female,North America
60+,HighSchool,Agriculture, Husband, Male,North America
60+,Associate,Clerical, Not-in-family, Female,Columbia
60+,HighSchool,Clerical, Not-in-family, Female,North America
31-40,Dropout,Transport, Not-in-family, Male,North America
41-50,HighSchool,Sales, Unmarried, Female,North America
21-30,HighSchool,Clerical, Not-in-family, Male,North America
31-40,HighSchool,Skilled Trade, Other-relative, Female,North America
21-30,Prof-School,Professional, Not-in-family, Male,North America
51-60,HighSchool,Service, Husband, Male,North America
41-50,HighSchool,Clerical, Not-in-family, Female,North America
41-50,HigherEd,Management, Husband, Male,Iran
31-40,HigherEd,Management, Husband, Male,North America
21-30,HighSchool,Transport, Own-child, Male,North America
41-50,HigherEd,Professional, Husband, Male,North America
41-50,HighSchool,Service, Wife, Female,North America
21-30,Associate,Protective-Serv, Husband, Male,North America
21-30,HighSchool,, Own-child, Male,North America
31-40,HighSchool,Skilled Trade, Not-in-family, Male,North America
51-60,HighSchool,Clerical, Husband, Male,
51-60,HighSchool,Clerical, Husband, Male,North America
31-40,HighSchool,Service, Not-in-family, Female,North America
41-50,Associate,Tech-Support, Husband, Male,North America
41-50,HighSchool,Clerical, Husband, Male,
41-50,Prof-School,Professional, Wife, Female,North America
41-50,HigherEd,Clerical, Wife, Female,North America
51-60,10Th,Service, Unmarried, Female,North America
0-20,HighSchool,Clerical, Own-child, Male,North America
51-60,HighSchool,Transport, Not-in-family, Male,North America
41-50,HighSchool,Agriculture, Husband, Male,Cambodia
21-30,HighSchool,Service, Own-child, Female,North America
31-40,HighSchool,Service, Not-in-family, Female,North America
41-50,Associate,Management, Not-in-family, Female,North America
51-60,Dropout,Skilled Trade, Not-in-family, Male,North America
31-40,HigherEd,Professional, Own-child, Female,North America
41-50,HighSchool,Sales, Husband, Male,North America
0-20,Dropout,Service, Own-child, Male,North America
51-60,HighSchool,Sales, Husband, Male,North America
21-30,Dropout,Skilled Trade, Husband, Male,North America
31-40,HighSchool,Management, Husband, Male,Thailand
0-20,HighSchool,, Own-child, Male,Canada
60+,HighSchool,Management, Husband, Male,North America
31-40,HigherEd,Professional, Not-in-family, Female,North America
31-40,HighSchool,Skilled Trade, Wife, Female,North America
60+,HighSchool,Management, Husband, Male,North America
0-20,Dropout,Service, Own-child, Male,North America
51-60,HigherEd,Agriculture, Husband, Male,North America
21-30,HigherEd,Professional, Own-child, Male,North America
31-40,HighSchool,Professional, Own-child, Female,North America
41-50,HighSchool,Manual Labor, Husband, Male,North America
41-50,HighSchool,Skilled Trade, Husband, Male,North America
31-40,HighSchool,Management, Not-in-family, Female,North America
21-30,HighSchool,Tech-Support, Own-child, Female,North America
21-30,HighSchool,Manufacturing, Wife, Female,North America
21-30,HigherEd,Professional, Not-in-family, Female,Germany
41-50,HighSchool,Skilled Trade, Husband, Male,North America
31-40,Associate,Sales, Unmarried, Female,North America
60+,HigherEd,Professional, Not-in-family, Female,North America
21-30,HighSchool,Manual Labor, Own-child, Male,North America
51-60,HigherEd,Sales, Husband, Male,North America
41-50,Prof-School,Professional, Husband, Male,North America
51-60,HighSchool,Service, Not-in-family, Male,North America
21-30,HigherEd,Management, Not-in-family, Female,North America
51-60,Dropout,Skilled Trade, Husband, Male,Ecuador
31-40,HigherEd,Professional, Husband, Male,North America
31-40,HighSchool,Professional, Not-in-family, Female,North America
21-30,HigherEd,Protective-Serv, Not-in-family, Male,North America
21-30,HighSchool,Sales, Own-child, Male,North America
21-30,HigherEd,Tech-Support, Unmarried, Female,North America
60+,HighSchool,Transport, Husband, Male,North America
31-40,HigherEd,Sales, Not-in-family, Female,North America
31-40,HigherEd,, Wife, Female,
21-30,HighSchool,Skilled Trade, Own-child, Male,North America
31-40,HighSchool,Sales, Not-in-family, Male,North America
41-50,HigherEd,Clerical, Husband, Male,North America
21-30,HighSchool,Service, Not-in-family, Female,North America
31-40,HighSchool,Transport, Husband, Male,North America
51-60,HighSchool,Sales, Husband, Male,North America
21-30,HighSchool,Clerical, Wife, Female,Laos
41-50,HighSchool,Clerical, Not-in-family, Female,North America
21-30,Associate,Tech-Support, Not-in-family, Male,North America
41-50,Associate,Professional, Not-in-family, Female,North America
31-40,Associate,Clerical, Husband, Male,North America
41-50,HighSchool,Agriculture, Husband, Male,North America
21-30,HigherEd,Sales, Not-in-family, Male,North America
31-40,HigherEd,Management, Husband, Male,Taiwan
0-20,HighSchool,, Own-child, Female,North America
31-40,HigherEd,Professional, Not-in-family, Female,North America
21-30,HighSchool,Sales, Own-child, Male,North America
21-30,HighSchool,Manufacturing, Not-in-family, Male,North America
60+,HighSchool,Sales, Husband, Male,North America
21-30,5Th-6Th,Manufacturing, Other-relative, Female,Latin America
21-30,HighSchool,Tech-Support, Not-in-family, Female,North America
60+,HighSchool,Service, Not-in-family, Female,North America
31-40,HighSchool,Management, Husband, Male,North America
41-50,HighSchool,Skilled Trade, Husband, Male,North America
31-40,HighSchool,Transport, Not-in-family, Male,North America
21-30,Dropout,Management, Not-in-family, Female,North America
60+,HigherEd,Skilled Trade, Husband, Male,North America
60+,HighSchool,Agriculture, Husband, Male,North America
21-30,Associate,, Own-child, Female,North America
41-50,HighSchool,Professional, Wife, Female,North America
51-60,HighSchool,Manual Labor, Husband, Male,North America
60+,HighSchool,Transport, Not-in-family, Male,North America
41-50,HighSchool,Skilled Trade, Not-in-family, Male,North America
21-30,HigherEd,Clerical, Not-in-family, Male,North America
41-50,Associate,Service, Not-in-family, Male,North America
51-60,10Th,Clerical, Husband, Male,North America
51-60,HighSchool,Transport, Husband, Male,North America
0-20,5Th-6Th,Service, Other-relative, Male,Latin America
31-40,HighSchool,Skilled Trade, Other-relative, Male,North America
41-50,HigherEd,Professional, Not-in-family, Male,North America
0-20,HighSchool,Sales, Unmarried, Male,Haiti
41-50,HighSchool,Service, Husband, Male,North America
21-30,Associate,Sales, Not-in-family, Male,North America
31-40,Associate,Skilled Trade, Husband, Male,North America
31-40,HighSchool,Protective-Serv, Husband, Male,North America
31-40,HighSchool,Agriculture, Not-in-family, Male,North America
21-30,HighSchool,Protective-Serv, Own-child, Female,North America
41-50,HigherEd,Sales, Not-in-family, Male,North America
60+,Dropout,, Husband, Male,North America
31-40,Associate,, Unmarried, Female,North America
51-60,Associate,Service, Not-in-family, Male,Iran
31-40,HigherEd,Professional, Own-child, Male,North America
31-40,HigherEd,Management, Husband, Male,North America
21-30,HighSchool,Service, Husband, Male,North America
31-40,HigherEd,Management, Husband, Male,North America
41-50,Dropout,Transport, Husband, Male,North America
51-60,HigherEd,, Husband, Male,North America
31-40,HighSchool,Clerical, Husband, Male,North America
60+,Dropout,Service, Unmarried, Male,North America
41-50,Associate,Tech-Support, Husband, Male,North America
41-50,HighSchool,Clerical, Wife, Female,North America
21-30,Dropout,Skilled Trade, Husband, Male,Portugal
31-40,10Th,Service, Wife, Female,North America
60+,HigherEd,Professional, Husband, Male,North America
41-50,HigherEd,Transport, Husband, Male,North America
41-50,HigherEd,Management, Not-in-family, Male,North America
21-30,HighSchool,Sales, Not-in-family, Male,North America
21-30,HighSchool,Skilled Trade, Husband, Male,North America
51-60,HighSchool,Sales, Husband, Male,North America
21-30,Associate,Sales, Not-in-family, Female,North America
51-60,HigherEd,Management, Not-in-family, Female,North America
31-40,HighSchool,Sales, Unmarried, Female,North America
21-30,HighSchool,Clerical, Unmarried, Female,North America
0-20,Dropout,Service, Own-child, Male,North America
41-50,Associate,Manufacturing, Husband, Male,North America
41-50,HighSchool,Manufacturing, Husband, Male,North America
41-50,HighSchool,Skilled Trade, Not-in-family, Male,North America
21-30,HighSchool,Clerical, Own-child, Female,North America
31-40,HighSchool,Skilled Trade, Wife, Female,North America
21-30,HighSchool,Sales, Not-in-family, Male,North America
41-50,HigherEd,Management, Not-in-family, Male,North America
31-40,HighSchool,Sales, Husband, Male,North America
51-60,HighSchool,Transport, Not-in-family, Male,North America
41-50,5Th-6Th,Skilled Trade, Not-in-family, Female,North America
21-30,HighSchool,Skilled Trade, Husband, Male,North America
41-50,HighSchool,Sales, Not-in-family, Female,North America
31-40,HighSchool,Transport, Wife, Female,North America
21-30,HighSchool,Service, Not-in-family, Female,North America
21-30,HighSchool,Manufacturing, Not-in-family, Male,North America
41-50,HighSchool,Clerical, Wife, Female,North America
0-20,HighSchool,Clerical, Own-child, Female,North America
0-20,HighSchool,Service, Other-relative, Female,North America
31-40,HighSchool,Service, Wife, Female,North America
21-30,HigherEd,Skilled Trade, Not-in-family, Male,North America
41-50,Associate,Skilled Trade, Not-in-family, Male,North America
31-40,HigherEd,Management, Husband, Male,
31-40,HighSchool,Service, Not-in-family, Female,North America
41-50,HighSchool,Tech-Support, Husband, Male,North America
41-50,HighSchool,Manual Labor, Unmarried, Female,North America
21-30,HighSchool,, Other-relative, Female,North America
21-30,HigherEd,Management, Husband, Male,North America
51-60,HigherEd,Management, Husband, Male,North America
21-30,HighSchool,Manual Labor, Own-child, Male,North America
21-30,HighSchool,Service, Not-in-family, Female,North America
51-60,HigherEd,Protective-Serv, Husband, Male,North America
31-40,Associate,Tech-Support, Not-in-family, Female,North America
21-30,Dropout,Manual Labor, Husband, Male,Puerto-Rico
41-50,HigherEd,Management, Husband, Male,North America
21-30,HighSchool,Clerical, Husband, Male,North America
41-50,HighSchool,Skilled Trade, Husband, Male,North America
21-30,HighSchool,, Wife, Female,North America
31-40,HighSchool,Management, Husband, Male,North America
41-50,HighSchool,Service, Not-in-family, Female,North America
21-30,HighSchool,Manual Labor, Unmarried, Female,North America
31-40,HighSchool,Management, Unmarried, Female,North America
41-50,HigherEd,Management, Husband, Male,North America
31-40,HighSchool,Manufacturing, Husband, Male,North America
31-40,12Th,Skilled Trade, Not-in-family, Male,North America
51-60,1St-4Th,Manufacturing, Husband, Male,Latin America
31-40,Dropout,Service, Own-child, Female,North America
31-40,Dropout,Manufacturing, Not-in-family, Male,North America
31-40,HighSchool,Transport, Unmarried, Female,North America
21-30,HighSchool,Sales, Husband, Male,North America
0-20,Dropout,Manual Labor, Own-child, Male,North America
31-40,HigherEd,Management, Wife, Female,North America
21-30,HighSchool,Agriculture, Not-in-family, Male,North America
31-40,10Th,Skilled Trade, Unmarried, Female,North America
21-30,HighSchool,Transport, Husband, Male,North America
31-40,HigherEd,Professional, Not-in-family, Male,North America
21-30,HighSchool,Manual Labor, Not-in-family, Male,Dominican-Republic
60+,HighSchool,Management, Husband, Male,North America
41-50,HigherEd,Professional, Husband, Male,North America
60+,HighSchool,, Not-in-family, Male,North America
0-20,Dropout,, Own-child, Male,North America
41-50,HigherEd,Professional, Not-in-family, Female,North America
31-40,Associate,Service, Wife, Female,North America
21-30,HighSchool,Skilled Trade, Own-child, Male,Philippines
31-40,HigherEd,Professional, Husband, Male,North America
31-40,HighSchool,Agriculture, Not-in-family, Male,North America
31-40,HighSchool,Protective-Serv, Not-in-family, Female,North America
21-30,HighSchool,Clerical, Husband, Male,North America
41-50,HighSchool,Clerical, Wife, Female,North America
21-30,HigherEd,Professional, Not-in-family, Male,North America
41-50,HighSchool,Clerical, Not-in-family, Female,North America
21-30,HighSchool,Armed-Forces, Own-child, Male,North America
41-50,HighSchool,Professional, Husband, Male,North America
21-30,Dropout,Skilled Trade, Other-relative, Male,Latin America
21-30,HighSchool,Sales, Not-in-family, Male,North America
41-50,HighSchool,Management, Unmarried, Female,North America
51-60,HighSchool,Skilled Trade, Husband, Male,North America
21-30,HighSchool,Manufacturing, Husband, Male,North America
0-20,Dropout,, Own-child, Female,North America
0-20,HighSchool,Manufacturing, Own-child, Female,North America
41-50,HighSchool,Skilled Trade, Husband, Male,North America
60+,HighSchool,Skilled Trade, Husband, Male,North America
41-50,Associate,Management, Husband, Male,
41-50,HighSchool,Sales, Wife, Female,North America
41-50,Associate,Manufacturing, Husband, Male,North America
31-40,HighSchool,Management, Wife, Female,North America
31-40,HighSchool,Transport, Husband, Male,North America
21-30,HighSchool,Transport, Husband, Male,North America
31-40,HighSchool,, Husband, Male,North America
41-50,Associate,Agriculture, Own-child, Male,North America
51-60,HighSchool,Transport, Husband, Male,North America
31-40,HigherEd,Professional, Husband, Male,North America
51-60,1St-4Th,Skilled Trade, Unmarried, Male,North America
21-30,HigherEd,Tech-Support, Not-in-family, Female,North America
31-40,HighSchool,Clerical, Wife, Female,North America
51-60,HighSchool,Transport, Unmarried, Male,North America
31-40,HighSchool,Transport, Husband, Male,North America
41-50,HigherEd,Management, Husband, Male,North America
31-40,HigherEd,Tech-Support, Wife, Female,North America
60+,HighSchool,Professional, Unmarried, Male,North America
21-30,HighSchool,, Own-child, Male,North America
31-40,HighSchool,Skilled Trade, Not-in-family, Male,North America
31-40,HighSchool,Transport, Not-in-family, Male,North America
60+,Associate,Service, Not-in-family, Female,North America
41-50,HigherEd,Skilled Trade, Not-in-family, Female,North America
0-20,Dropout,Service, Not-in-family, Male,North America
21-30,HighSchool,Manual Labor, Own-child, Male,North America
21-30,10Th,Service, Not-in-family, Male,North America
21-30,HighSchool,Service, Unmarried, Female,North America
31-40,Associate,Skilled Trade, Husband, Male,Portugal
41-50,HighSchool,Skilled Trade, Husband, Male,North America
21-30,HigherEd,Professional, Not-in-family, Male,North America
41-50,HighSchool,Skilled Trade, Unmarried, Female,North America
51-60,12Th,, Other-relative, Male,North America
21-30,HighSchool,Clerical, Own-child, Female,North America
60+,1St-4Th,, Husband, Male,North America
51-60,HighSchool,Transport, Husband, Male,North America
41-50,HigherEd,Professional, Unmarried, Female,North America
31-40,HigherEd,Sales, Husband, Male,North America
41-50,HighSchool,Service, Not-in-family, Female,North America
41-50,HighSchool,Clerical, Not-in-family, Male,North America
31-40,Associate,Management, Not-in-family, Female,North America
31-40,HighSchool,Professional, Unmarried, Female,North America
31-40,HigherEd,Skilled Trade, Own-child, Male,North America
41-50,HighSchool,Clerical, Unmarried, Female,North America
21-30,HighSchool,Manufacturing, Own-child, Male,North America
21-30,5Th-6Th,Service, Own-child, Male,El-Salvador
21-30,HighSchool,Professional, Not-in-family, Female,North America
60+,HighSchool,, Husband, Male,North America
21-30,HighSchool,Agriculture, Not-in-family, Male,Poland
60+,HighSchool,Transport, Husband, Male,North America
51-60,HighSchool,Clerical, Husband, Male,North America
51-60,HighSchool,Service, Unmarried, Female,France
21-30,HigherEd,Sales, Not-in-family, Female,North America
21-30,HigherEd,Management, Not-in-family, Male,North America
0-20,HighSchool,Protective-Serv, Own-child, Male,North America
41-50,HighSchool,Management, Husband, Male,North America
41-50,HighSchool,Clerical, Unmarried, Female,North America
31-40,HighSchool,Service, Unmarried, Female,North America
41-50,Associate,Manual Labor, Unmarried, Male,North America
51-60,5Th-6Th,, Unmarried, Female,North America
31-40,Associate,Skilled Trade, Not-in-family, Male,North America
31-40,HighSchool,Professional, Husband, Male,North America
21-30,HighSchool,Skilled Trade, Not-in-family, Male,North America
51-60,Associate,, Unmarried, Female,North America
21-30,HighSchool,Clerical, Not-in-family, Female,North America
21-30,HighSchool,, Own-child, Male,North America
21-30,HighSchool,, Unmarried, Female,North America
31-40,HigherEd,Professional, Husband, Male,North America
31-40,HigherEd,Management, Husband, Male,North America
51-60,HighSchool,Management, Husband, Male,North America
21-30,HighSchool,Manual Labor, Not-in-family, Male,North America
31-40,HighSchool,Tech-Support, Husband, Male,North America
41-50,HighSchool,Manufacturing, Unmarried, Male,North America
21-30,HighSchool,Sales, Wife, Female,North America
41-50,HigherEd,Management, Husband, Male,North America
60+,HighSchool,Clerical, Not-in-family, Female,North America
31-40,HighSchool,Skilled Trade, Husband, Male,North America
41-50,HigherEd,Professional, Husband, Male,North America
41-50,Dropout,Manufacturing, Unmarried, Female,Puerto-Rico
21-30,HighSchool,Manufacturing, Not-in-family, Male,North America
31-40,HighSchool,Service, Husband, Male,North America
41-50,Associate,Management, Wife, Female,North America
60+,Prof-School,Professional, Husband, Male,North America
31-40,12Th,Tech-Support, Husband, Male,North America
51-60,1St-4Th,Priv-House-Serv, Not-in-family, Female,North America
21-30,Associate,Skilled Trade, Not-in-family, Male,North America
31-40,HigherEd,Agriculture, Not-in-family, Female,North America
